from,to,weight
🇨🇦,🇨🇦,4
🇨🇦,👇,2
🇨🇦,😂,2
🇨🇦,😳,2
🇩🇪,🐰,3
🇩🇰,🐰,2
🇪🇺,🇪🇺,10
🇪🇺,👍,2
🇫🇷,🇫🇮,2
🇬🇧,🇬🇧,12
🇬🇧,🇺🇸,5
🇬🇧,👍,3
🇬🇧,🤔,6
🇬🇧,🤣,2
🇬🇧,😢,2
🇬🇧,😱,2
🇭🇺,🇭🇺,2
🇭🇺,💃,2
🇮🇱,🇮🇱,2
🇮🇱,🇺🇸,5
🇮🇱,💀,4
🇮🇱,💣,2
🇮🇳,🇮🇳,5
🇮🇷,🤨,2
🇮🇷,🙏,2
🇵🇸,🇵🇸,3
🇵🇸,🤨,5
🇵🇸,😂,2
🇷🇺,😳,2
🇸🇦,🇸🇦,2
🇸🇪,🐰,2
🇺🇲,🇺🇲,17
🇺🇲,👍,2
🇺🇸,🇨🇳,2
🇺🇸,🇬🇧,7
🇺🇸,🇮🇱,8
🇺🇸,🇯🇵,2
🇺🇸,🇸🇮,2
🇺🇸,🇺🇸,161
🇺🇸,🌈,2
🇺🇸,🌊,3
🇺🇸,🍊,6
🇺🇸,🍒,2
🇺🇸,🎭,2
🇺🇸,🎯,2
🇺🇸,🐶,8
🇺🇸,👀,5
🇺🇸,👇,9
🇺🇸,👉,4
🇺🇸,👍,2
🇺🇸,👑,5
🇺🇸,👿,2
🇺🇸,💀,4
🇺🇸,💋,2
🇺🇸,💙,4
🇺🇸,💥,4
🇺🇸,💩,3
🇺🇸,💯,7
🇺🇸,💰,2
🇺🇸,🔥,2
🇺🇸,🔴,3
🇺🇸,🕵,2
🇺🇸,🗽,5
🇺🇸,🤔,3
🇺🇸,🤣,4
🇺🇸,🤥,2
🇺🇸,🤨,2
🇺🇸,🤷,2
🇺🇸,🥓,6
🇺🇸,🦅,4
🇺🇸,😂,9
🇺🇸,😃,2
🇺🇸,😎,3
🇺🇸,😏,3
🇺🇸,😒,2
🇺🇸,😡,4
🇺🇸,😱,3
🇺🇸,😳,4
🇺🇸,🙄,3
🇺🇸,🙋,2
🇺🇸,🙏,9
🇺🇸,🚂,2
🇺🇸,🆘,3
🇺🇸,🥺,2
🇻🇪,🤨,2
🇾🇪,🇸🇦,2
🇿🇦,🇿🇦,2
🇿🇦,😳,2
🌃,👀,2
🌃,👍,2
🌈,🇺🇸,2
🌈,🌈,13
🌈,🐻,2
🌈,😂,3
🌈,😱,2
🌊,🇺🇸,3
🌊,🌊,18
🌍,🇿🇦,2
🌍,🌎,3
🌍,🤔,2
🌍,🙌,2
🌎,🌈,2
🌎,👇,2
🌎,📺,2
🌎,🤡,4
🌎,😂,3
🌎,🙄,2
🌐,🇮🇱,2
🌚,🧐,2
🌚,😂,2
🌟,🇺🇸,5
🌟,🌟,2
🌟,🐾,3
🌲,🌿,2
🌷,📸,2
🌸,😘,2
🌹,🌹,3
🍄,🍄,12
🍆,💦,5
🍊,🍊,51
🍊,💩,3
🍊,🤡,3
🍊,🚂,7
🍋,🍉,2
🍌,🍌,5
🍑,🍇,2
🍓,🍌,2
🍓,🍓,2
🍕,🍕,5
🍰,🎂,2
🍳,🍳,2
🍺,🍺,4
🍻,🍻,2
🍻,😂,2
🍼,🥛,2
🍾,🍾,5
🍿,🍿,10
🎁,🎁,2
🎂,🇬🇧,2
🎂,🎉,2
🎉,🍾,3
🎉,🎉,24
🎉,🎊,4
🎉,🤔,2
🎉,😂,3
🎉,🙌,3
🎉,🥳,3
🎊,🎉,2
🎏,🎏,6
🎏,💯,3
🎏,🥂,2
🎥,🎥,2
🎥,🐰,10
🎥,😂,2
🎫,🇺🇸,2
🎫,🚂,3
🎬,💯,2
🎬,🤝,3
🎭,🇮🇱,7
🎭,🤔,2
🎯,👍,2
