from,to,weight
angry,angry,13
angry,blush,2
angry,fearful,2
angry,man_with_turban,7
angry,rage,29
angry,smile,5
angry,wink,2
anguished,anguished,2
astonished,exploding_head,2
astonished,fearful,4
baby,baby_bottle,2
baby,blue_heart,3
baby,joy,2
beer,beer,2
bird,bird,4
black_heart,black_heart,5
black_heart,fire,3
black_heart,green_heart,2
blue_heart,blue_heart,12
blue_heart,clap,2
blue_heart,joy,4
blue_heart,ocean,4
blue_heart,one_hundred,3
blue_heart,rofl,2
blue_heart,sob,2
blue_heart,stop_sign,5
blue_heart,tada,2
blue_heart,us,7
blush,blush,10
blush,grin,3
blush,joy,2
blush,point_down,2
blush,rofl,3
blush,smile,3
blush,smiling_imp,2
bomb,scream,2
books,joy,2
books,ok_hand,2
books,open_book,2
boom,boom,15
boom,heart_eyes,2
boom,iran,3
boom,point_down,2
boom,point_right,2
boom,rofl,2
bowing_man,joy,3
brain,video_game,2
broken_heart,broken_heart,13
broken_heart,disappointed_relieved,2
broken_heart,joy,2
broken_heart,moneybag,2
broken_heart,pray,2
busts_in_silhouette,eyes,3
busts_in_silhouette,footprints,6
butterfly,honeybee,2
canada,canada,3
canada,point_down,3
canada,smile,2
clap,black_heart,2
clap,clap,220
clap,fire,3
clap,fireworks,2
clap,innocent,2
clap,joy,10
clap,nauseated_face,2
clap,point_down,2
clap,pray,3
clap,rage,3
clap,rofl,4
clap,roll_eyes,3
clap,rotating,3
clap,smirk,2
clap,thinking,2
clap,thumbsup,2
clap,us,3
clap,venezuela,2
clap,wave,5
clown_face,clown_face,11
clown_face,heavy_dollar_sign,2
clown_face,innocent,2
clown_face,japanese_ogre,2
clown_face,joy,2
clown_face,point_right,2
cold_sweat,cold_sweat,3
cold_sweat,fearful,2
confounded,joy,2
confused,confused,3
confused,roll_eyes,3
confused,wave,2
cow2,cow2,49
cowboy_hat_face,man,3
crocodile,crocodile,3
crocodile,thinking,2
crown,crown,4
crown,fire,2
crown,poop,3
crown,princess,14
crown,sunglasses,2
crown,thumbsup,2
crown,us,2
cry,cry,4
cry,heart_eyes,2
dart,man_with_turban,24
dart,moneybag,5
disappointed,disappointed,6
disappointed,grin,2
disappointed,joy,5
disappointed,laughing,4
disappointed,man_with_turban,3
disappointed,one_hundred,2
disappointed,triumph,7
disappointed,woman_facepalming,2
disappointed_relieved,joy,2
dog,dog,4
dollar,dollar,8
dollar,moneybag,4
dolphin,dolphin,4
dolphin,joy,2
dolphin,thinking,2
drooling_face,clown_face,28
drooling_face,drooling_face,2
eagle,football,2
eagle,us,2
ear,joy,2
earth_africa,raised_hands,2
earth_americas,earth_asia,2
earth_americas,point_down,2
elephant,ru,3
eu,eu,4
eu,grin,2
exploding_head,exploding_head,4
exploding_head,eyes,2
expressionless,expressionless,4
expressionless,unamused,2
eyes,boom,2
eyes,dollar,2
eyes,eyes,23
eyes,fire,2
eyes,footprints,3
eyes,joy,12
eyes,pray,3
eyes,thinking,2
eyes,us,2
facepunch,facepunch,27
facepunch,fire,2
facepunch,joy,3
facepunch,ocean,2
facepunch,point_down,2
facepunch,red_circle,2
facepunch,thumbsup,12
fearful,angry,4
fearful,joy,3
fearful,weary,3
fire,fire,108
fire,headphones,2
fire,joy,10
fire,moneybag,2
fire,palestinian_territories,2
fire,point_down,3
fire,pray,4
fire,raised_hands,2
fire,rofl,6
fire,roll_eyes,2
fire,scream,7
fire,sob,4
fire,symbols_over_mouth,2
fire,thinking,2
fish,evergreen_tree,2
flushed,fire,3
flushed,flushed,16
flushed,joy,4
flushed,roll_eyes,4
flushed,thinking,4
flushed,us,3
football,football,2
football,one_hundred,2
football,trophy,2
footprints,busts_in_silhouette,16
fried_egg,fried_egg,2
fu,fu,17
fu,joy,4
fu,lying_face,2
fu,rage,3
fu,rofl,5
girl,boy,7
girl,girl,3
girl,israel,2
grasshopper,grasshopper,8
green_heart,eagle,4
grimacing,joy,5
grin,angry,2
grin,eyes,3
grin,fu,2
grin,grin,34
grin,joy,11
grin,laughing,2
grin,octopus,2
grin,one_hundred,5
grin,pensive,2
grin,rofl,4
grin,smiling_imp,4
grin,smirk,3
grin,sos,2
grin,sunglasses,2
grin,wave,2
grin,wink,3
grinning,blush,3
grinning,grin,2
grinning,smiling_imp,2
hand_over_mouth,hand_over_mouth,2
heart_eyes,clap,2
heart_eyes,exploding_head,2
heart_eyes,heart_eyes,47
heart_eyes,joy,5
heart_eyes,kissing_heart,6
heart_eyes,pray,2
heart_eyes,purple_heart,2
heart_eyes,rofl,2
heart_eyes,stuck_out_tongue_winking_eye,2
heart_eyes,woman_shrugging,2
heartpulse,dizzy,2
high_heel,dancer,2
hugs,hugs,10
hugs,ox,2
hugs,rocket,2
imp,raised_eyebrow,2
innocent,heart_eyes,2
innocent,joy,2
innocent,monocle,2
innocent,thinking,2
iran,pray,2
israel,israel,2
israel,point_down,2
