from,to,weight
alien,alien,2
angry,angry,7
arrow_down_small,arrow_down_small,31
arrow_down_small,arrow_up_small,2
arrow_up_small,arrow_up_small,23
astonished,astonished,2
baby,angel,2
bacon,us,2
banana,banana,5
banana,tangerine,2
bear,bear,3
beer,beers,2
beers,beers,2
birthday,shaved_ice,2
blossom,skull,2
blue_heart,purple_heart,2
blush,blush,5
blush,joy,4
blush,ok_hand,2
blush,rofl,3
blush,thinking,2
blush,thumbsup,2
bomb,bomb,4
bomb,grimacing,2
bomb,smiling_imp,2
boom,boom,41
boom,fire,2
boom,new_moon,2
boom,point_right,2
boom,rofl,2
boom,roll_eyes,2
boom,thinking,2
boom,us,3
broken_heart,broken_heart,3
broken_heart,smile,2
broom,broom,2
canada,canada,2
canada,joy,2
canada,thinking,2
canada,us,3
champagne,champagne,5
checkered_flag,checkered_flag,23
cherries,peach,2
christmas_tree,christmas_tree,2
clap,clap,73
clap,fire,2
clap,rofl,4
clap,thumbsup,4
clapper,clap,3
clinking_glasses,flags,2
clinking_glasses,uk,2
clown_face,clown_face,22
clown_face,earth_africa,11
clown_face,earth_americas,16
clown_face,joy,3
clown_face,poop,4
cold_sweat,cold_sweat,2
cold_sweat,rage,2
cold_sweat,scream,2
confounded,confounded,2
confounded,face_with_head_bandage,2
confounded,poop,2
confounded,triumph,2
confused,confused,11
confused,woman_facepalming,3
crossed_fingers,crossed_fingers,2
crossed_fingers,thumbsup,2
crown,crown,2
cry,cry,5
cry,thinking,4
cup_with_straw,cup_with_straw,2
dancer,dancer,2
disappointed,disappointed,5
disappointed,sob,2
disappointed,worried,2
disappointed_relieved,joy,3
disappointed_relieved,us,2
dog,dog,3
dog,us,4
dog2,dog2,4
dragon,dragon,2
drooling_face,grin,2
eagle,eagle,36
earth_africa,thinking,2
earth_americas,gift,2
earth_americas,joy,3
earth_americas,tv,2
earth_asia,clown_face,2
eu,eu,6
eu,thumbsup,2
eyes,clown_face,2
eyes,eyes,8
eyes,flushed,2
eyes,joy,3
eyes,rage,2
eyes,thinking,2
facepunch,facepunch,7
finland,de,2
fire,boom,2
fire,fire,38
fire,open_mouth,2
fire,point_down,2
fire,us,3
fist_right,fist_left,2
flags,clapper,2
flags,clinking_glasses,2
flags,flags,6
flags,handshake,2
flags,one_hundred,3
flushed,brazil,2
flushed,cold_sweat,4
flushed,dizzy_face,2
flushed,flushed,21
flushed,joy,3
flushed,nauseated_face,2
flushed,point_down,3
flushed,thinking,2
flushed,triumph,2
fr,eu,2
fr,rabbit,2
frog,rainbow,4
fu,fu,11
gift,earth_americas,2
grapes,lemon,2
grasshopper,grasshopper,2
green_heart,broken_heart,2
green_heart,seedling,2
grimacing,flushed,3
grimacing,rage,3
grimacing,triumph,2
grin,blush,3
grin,grin,21
grin,innocent,3
grin,joy,7
grin,rofl,3
grin,rotating,3
grin,thinking,4
grin,thumbsup,3
grin,us,2
grinning,grinning,4
grinning,joy,3
grinning,laughing,2
gun,gun,2
hand_over_mouth,grin,2
handshake,flags,2
handshake,one_hundred,5
handshake,thumbsup,2
hear_no_evil,thumbsup,2
heart_eyes,heart_eyes,15
heart_eyes,joy,2
heart_eyes,kissing_heart,2
heart_eyes,rofl,2
heart_eyes,star_struck,2
heartpulse,revolving_hearts,2
hocho,hocho,2
hugs,hugs,7
hungary,dancer,2
hungary,hungary,2
imp,japanese_ogre,4
india,india,5
innocent,us,2
japanese_goblin,skull,4
japanese_ogre,japanese_goblin,4
jigsaw,jigsaw,4
joy,blush,2
joy,boom,2
joy,clap,5
joy,clown_face,7
joy,cry,3
joy,disappointed,2
joy,ear_of_rice,2
joy,eyes,3
joy,fire,3
joy,flushed,2
joy,grimacing,2
joy,grin,2
joy,grinning,3
joy,heart_eyes,3
joy,hugs,2
joy,joy,354
joy,ok_hand,6
joy,one_hundred,3
joy,paw_prints,2
joy,pensive,2
joy,point_down,9
joy,point_right,2
joy,rabbit,2
joy,rage,10
joy,rofl,60
joy,roll_eyes,6
joy,rotating,2
joy,scream,2
joy,see_no_evil,2
joy,sob,5
joy,speak_no_evil,2
joy,strawberry,2
joy,stuck_out_tongue_winking_eye,2
joy,sunglasses,2
joy,sweat_smile,5
joy,thinking,15
joy,thumbsup,9
joy,tired_face,5
joy,uk,5
joy,us,9
joy,wink,6
joy,woman_facepalming2,3
joy,woman_shrugging,15
joy,zzz,2
kissing_closed_eyes,kissing_closed_eyes,2
kissing_heart,heart_eyes,2
kissing_heart,kissing_heart,3
large_blue_circle,large_blue_circle,6
large_blue_circle,red_circle,2
large_orange_diamond,large_orange_diamond,2
laughing,joy,6
laughing,rofl,2
lion,lion,25
lion,pushpin,2
lion,symbols_over_mouth,2
lobster,lobster,2
loud_sound,loud_sound,6
love_you,love_you,13
male_detective,uk,2
man,man,3
martial_arts_uniform,martial_arts_uniform,12
milk_glass,baby_bottle,2
milk_glass,boom,2
money_mouth_face,rage,2
monocle,monocle,3
monocle,point_left,2
mortar_board,books,2
movie_camera,movie_camera,2
movie_camera,rabbit,16
muscle,muscle,2
nauseated_face,nauseated_face,12
nauseated_face,rage,2
nauseated_face,rofl,3
nauseated_face,vomiting,5
nauseated_face,weary,2
neutral_face,open_mouth,2
night_with_stars,eyes,2
night_with_stars,thumbsup,2
no_entry_sign,no_entry_sign,2
no_entry_sign,rofl,2
ok_hand,blush,3
ok_hand,clap,2
ok_hand,heart_eyes,2
ok_hand,joy,7
ok_hand,ok_hand,22
ok_hand,sunglasses,2
ok_hand,thinking,4
ok_hand,thumbsup,2
ok_hand,wink,2
older_man,cow,2
one_hundred,clapper,3
one_hundred,clinking_glasses,2
one_hundred,handshake,4
one_hundred,one_hundred,4
one_hundred,thinking,2
one_hundred,us,3
open_mouth,sweat_smile,2
ox,poop,2
place_of_worship,red_circle,2
point_down,bomb,2
point_down,facepunch,2
point_down,fire,2
point_down,imp,2
point_down,joy,5
point_down,point_down,56
point_down,rage,2
point_down,rofl,3
point_down,thinking,5
point_down,us,3
point_down,wink,2
point_down,woman_facepalming2,2
point_down,woman_shrugging,3
point_left,point_left,4
point_right,joy,2
point_right,point_left,12
point_right,point_right,4
point_right,us,2
point_up_2,point_up_2,5
point_up_2,poop,2
poop,clown_face,2
poop,fireworks,3
poop,point_down,3
poop,poop,25
poop,rage,2
poop,rofl,6
poop,scream,3
poop,thumbsup,2
popcorn,popcorn,8
pound,pound,2
pray,heart_eyes,2
pray,japanese_ogre,2
pray,point_down,2
pray,pray,45
pray,revolving_hearts,2
pray,thumbsup,2
pray,us,3
purple_heart,heart_eyes,2
rabbit,denmark,2
rabbit,fr,2
rabbit,movie_camera,9
rabbit,rabbit,168
rabbit,radio,15
rabbit,rofl,3
rabbit,sweden,2
radio,rabbit,18
rage,cold_sweat,5
rage,cry,2
rage,imp,2
rage,joy,5
rage,lion,4
rage,point_down,3
rage,poop,2
rage,rage,57
rage,rotating,2
rage,sob,5
rage,sunglasses,2
rage,symbols_over_mouth,2
rage,thinking,5
rage,thumbsup,5
rainbow,rainbow,9
raised_back_of_hand,raised_back_of_hand,4
raised_eyebrow,grinning,2
raised_eyebrow,raised_eyebrow,2
raised_eyebrow,roll_eyes,2
raised_hand_with_fingers_splayed,raised_hand_with_fingers_splayed,3
raised_hands,clap,3
raised_hands,joy,2
raised_hands,raised_hands,9
raised_hands,tired_face,2
raising_hand_woman,raising_hand_woman,13
raising_hand_woman,thumbsup,2
rat,mouse2,6
red_circle,es,2
red_circle,joy,2
red_circle,red_circle,4
red_circle,thinking,2
red_circle,us,2
relieved,relieved,2
rocket,rocket,3
rofl,clown_face,5
rofl,earth_africa,2
rofl,grin,2
rofl,heart_eyes,2
rofl,joy,68
rofl,laughing,3
rofl,ok_hand,2
rofl,paw_prints,2
rofl,point_down,2
rofl,poop,3
rofl,rofl,243
rofl,roll_eyes,2
rofl,sob,2
rofl,sweat_smile,10
rofl,thinking,6
rofl,thumbsup,5
rofl,us,6
rofl,weary,7
rofl,yum,2
roll_eyes,clown_face,3
roll_eyes,fire,2
roll_eyes,joy,13
roll_eyes,rage,2
roll_eyes,rofl,2
roll_eyes,roll_eyes,18
roll_eyes,smirk,3
roll_eyes,thinking,12
roll_eyes,thumbsup,4
roll_eyes,woman_shrugging,3
rose,fire,2
rose,rose,2
rotating,clown_face,2
rotating,flushed,2
rotating,rotating,30
rotating,thinking,3
rotating,thumbsup,2
rotating,us,3
round_pushpin,round_pushpin,2
scream,cold_sweat,5
scream,flushed,4
scream,rage,3
scream,scream,18
scream,tada,2
scream,thinking,2
scream,us,2
scream,wink,2
see_no_evil,hear_no_evil,4
see_no_evil,see_no_evil,2
skull,pray,2
skull,thinking,2
slightly_smiling_face,joy,2
small_orange_diamond,small_orange_diamond,3
small_red_triangle_down,small_red_triangle_down,5
smile,sweat_smile,2
smiley,thumbsup,2
smirk,joy,2
smirk,persevere,2
sob,eyes,2
sob,joy,3
sob,rofl,3
sob,sob,26
sob,thinking,2
sos,sos,3
south_africa,rabbit,2
speak_no_evil,beer,2
speak_no_evil,joy,2
star_struck,sunglasses,2
star2,paw_prints,3
statue_of_liberty,statue_of_liberty,2
statue_of_liberty,us,2
steam_locomotive,steam_locomotive,5
steam_locomotive,ticket,2
steam_locomotive,us,5
strawberry,strawberry,2
strawberry,us,2
stuck_out_tongue_winking_eye,rofl,2
sunglasses,ok_hand,3
sunglasses,rofl,3
sunglasses,sun_with_face,2
sunglasses,thumbsup,6
sweat_smile,blush,2
sweat_smile,heart_eyes,2
sweat_smile,joy,11
sweat_smile,ok_hand,2
sweat_smile,rofl,3
sweat_smile,sweat_smile,8
sweat_smile,thumbsup,2
sweat_smile,wink,3
sweden,sweden,2
symbols_over_mouth,joy,4
symbols_over_mouth,poop,2
symbols_over_mouth,symbols_over_mouth,10
tada,partying,2
tada,tada,7
tangerine,steam_locomotive,5
thinking,broken_heart,2
thinking,clown_face,3
thinking,eyes,3
thinking,flushed,3
thinking,grin,2
thinking,hand_over_mouth,2
thinking,joy,20
thinking,ok_hand,2
thinking,point_down,4
thinking,rage,2
thinking,rofl,3
thinking,roll_eyes,12
thinking,scream,2
thinking,slightly_frowning_face,2
thinking,sweat_smile,3
thinking,symbols_over_mouth,2
thinking,thinking,33
thinking,thought_balloon,12
thinking,thumbsup,2
thinking,tired_face,2
thinking,uk,3
thinking,unamused,2
thinking,us,3
thinking,vomiting,2
thinking,wink,3
thinking,woman_facepalming2,2
thinking,woman_shrugging,3
thought_balloon,books,2
thumbsdown,joy,3
thumbsdown,thumbsdown,6
thumbsup,angry,2
thumbsup,clapper,3
thumbsup,clown_face,2
thumbsup,eyes,4
thumbsup,grin,4
thumbsup,heart_eyes,2
thumbsup,joy,10
thumbsup,night_with_stars,5
thumbsup,ok_hand,4
thumbsup,poop,2
thumbsup,rofl,4
thumbsup,smiley,2
thumbsup,tada,2
thumbsup,thinking,8
thumbsup,thumbsdown,2
thumbsup,thumbsup,57
thumbsup,uk,3
thumbsup,us,6
thumbsup,zany,4
ticket,rotating,4
tired_face,eyes,2
tired_face,joy,5
tired_face,thinking,2
tired_face,tired_face,50
tired_face,unamused,5
tired_face,woman_facepalming,2
tulip,cherry_blossom,2
two_hearts,point_down,2
two_hearts,two_hearts,2
uk,joy,2
uk,thumbsup,3
uk,uk,8
uk,us,2
unamused,eyes,2
unamused,joy,2
unamused,tired_face,3
unamused,unamused,19
unamused,us,2
unamused,woman_shrugging,4
us,bacon,7
us,boom,3
us,cowboy_hat_face,2
us,dart,2
us,fire,4
us,israel,7
us,joy,4
us,kiss,2
us,point_down,3
us,pray,5
us,rage,4
us,rofl,3
us,roll_eyes,2
us,rotating,4
us,smiley,2
us,star2,5
us,statue_of_liberty,4
us,sunglasses,2
us,tangerine,8
us,thinking,3
us,uk,3
us,us,118
us,woman_shrugging,2
us_flag,thumbsup,2
us_flag,us_flag,16
vomiting,thinking,2
vomiting,vomiting,3
vomiting,woman_shrugging,2
watermelon,strawberry,2
weary,nauseated_face,2
weary,rofl,2
weary,weary,23
wine_glass,clinking_glasses,2
wink,hushed,2
wink,joy,7
wink,rage,2
wink,thinking,3
wink,thumbsup,3
wink,wink,8
woman_facepalming,joy,2
woman_facepalming,woman_facepalming,2
woman_facepalming_blonde,woman_facepalming_blonde,3
woman_facepalming2,hugs,2
woman_facepalming2,joy,3
woman_facepalming2,woman_facepalming2,6
woman_shrugging,fu,2
woman_shrugging,joy,13
woman_shrugging,point_down,2
woman_shrugging,rage,2
woman_shrugging,thinking,4
woman_shrugging,unamused,4
woman_shrugging,us,2
woman_shrugging,woman_shrugging,43
woozy,woozy,3
worried,rage,3
yellow_heart,blue_heart,2
yellow_heart,green_heart,2
zany,rofl,3
zany,zany,5
zipper_mouth_face,roll_eyes,2
